class,symbol,tissue_type,TPM,organ,kinase_percentile
Dark,CDK11B,Adipose - Subcutaneous,24.28,adipose_tissue,70
Dark,CDK11B,Adipose - Visceral (Omentum),19.37,adipose_tissue,67
Dark,CDK11B,Adrenal Gland,15.83,adrenal_gland,72
Dark,CDK11B,Artery - Aorta,26.59,aorta,72
Dark,CDK11B,Artery - Coronary,23.26,coronary_artery,72
Dark,CDK11B,Artery - Tibial,26.22,NA,73
Dark,CDK11B,Bladder,27.39,urinary_bladder,72
Dark,CDK11B,Brain - Amygdala,11.555,amygdala,71
Dark,CDK11B,Brain - Anterior cingulate cortex (BA24),11.86,brain,66
Dark,CDK11B,Brain - Caudate (basal ganglia),11.72,brain,68
Dark,CDK11B,Brain - Cerebellar Hemisphere,29.705,cerebellar_hemisphere,71
Dark,CDK11B,Brain - Cerebellum,29.66,cerebellum,72
Dark,CDK11B,Brain - Cortex,15.615,prefrontal_cortex,69
Dark,CDK11B,Brain - Frontal Cortex (BA9),15.3,frontal_cortex,66
Dark,CDK11B,Brain - Hippocampus,12.46,hippocampus,73
Dark,CDK11B,Brain - Hypothalamus,15.57,brain,75
Dark,CDK11B,Brain - Nucleus accumbens (basal ganglia),12.25,brain,65
Dark,CDK11B,Brain - Putamen (basal ganglia),11.195,brain,72
Dark,CDK11B,Brain - Spinal cord (cervical c-1),20.26,spinal_cord,80
Dark,CDK11B,Brain - Substantia nigra,13.995,brain,77
Dark,CDK11B,Breast - Mammary Tissue,23.89,breast,72
Dark,CDK11B,Cervix - Ectocervix,32.285,ectocervix,76
Dark,CDK11B,Cervix - Endocervix,27.26,uterine_cervix,70
Dark,CDK11B,Colon - Sigmoid,33.21,colon,81
Dark,CDK11B,Colon - Transverse,24.98,colon,78
Dark,CDK11B,Esophagus - Gastroesophageal Junction,30.615,esophagus,80
Dark,CDK11B,Esophagus - Mucosa,17.98,esophagus,68
Dark,CDK11B,Esophagus - Muscularis,31.025,esophagus,80
Dark,CDK11B,Fallopian Tube,27.56,fallopian_tube,71
Dark,CDK11B,Heart - Atrial Appendage,10.89,heart,69
Dark,CDK11B,Heart - Left Ventricle,10.48,heart,77
Dark,CDK11B,Kidney - Cortex,11.18,kidney,70
Dark,CDK11B,Liver,9.355,liver,76
Dark,CDK11B,Lung,31.28,lung,72
Dark,CDK11B,Minor Salivary Gland,18.96,salivary_gland,69
Dark,CDK11B,Muscle - Skeletal,25.555,skeletal_muscle,85
Dark,CDK11B,Nerve - Tibial,28.46,nerve,70
Dark,CDK11B,Ovary,29.13,ovary,73
Dark,CDK11B,Pancreas,10.47,pancreas,78
Dark,CDK11B,Pituitary,24.04,pituitary_gland,73
Dark,CDK11B,Prostate,26.67,prostate,76
Dark,CDK11B,Skin - Not Sun Exposed (Suprapubic),25.62,skin,74
Dark,CDK11B,Skin - Sun Exposed (Lower leg),27.67,skin,74
Dark,CDK11B,Small Intestine - Terminal Ileum,29.35,small_intestine,81
Dark,CDK11B,Spleen,35.43,spleen,76
Dark,CDK11B,Stomach,18.075,stomach,76
Dark,CDK11B,Testis,49.71,testis,85
Dark,CDK11B,Thyroid,29.3,thyroid_gland,72
Dark,CDK11B,Uterus,34.39,uterus,74
Dark,CDK11B,Vagina,25.25,vagina,70
Dark,CDK11B,Whole Blood,15.6,NA,76
Dark,CDK11A,Adipose - Subcutaneous,27.7,adipose_tissue,74
Dark,CDK11A,Adipose - Visceral (Omentum),22.65,adipose_tissue,71
Dark,CDK11A,Adrenal Gland,19.35,adrenal_gland,76
Dark,CDK11A,Artery - Aorta,26.48,aorta,72
Dark,CDK11A,Artery - Coronary,23.63,coronary_artery,72
Dark,CDK11A,Artery - Tibial,25.25,NA,71
Dark,CDK11A,Bladder,30.99,urinary_bladder,76
Dark,CDK11A,Brain - Amygdala,7.914,amygdala,62
Dark,CDK11A,Brain - Anterior cingulate cortex (BA24),8.052,brain,56.00000000000001
Dark,CDK11A,Brain - Caudate (basal ganglia),9.0235,brain,60
Dark,CDK11A,Brain - Cerebellar Hemisphere,38.29,cerebellar_hemisphere,78
Dark,CDK11A,Brain - Cerebellum,39.02,cerebellum,80
Dark,CDK11A,Brain - Cortex,12.03,prefrontal_cortex,61
Dark,CDK11A,Brain - Frontal Cortex (BA9),11.25,frontal_cortex,56.00000000000001
